# Метеостанция Тырныауз, Россия, WMO_ID=37206, выборка с 20.11.2013 по 31.12.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=37206&lang=ru
#
"Местное время в Тырныаузе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2021 06:00";"-2.5";"652.7";"";"";"78";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"-2.8";"";"";"";"";"";"";"";"-5.9";"Осадков нет";"12";"";"";"";"";
"27.12.2021 03:00";"5.2";"652.3";"";"";"30";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.0";"";"";"";"";"";"";
"27.12.2021 00:00";"5.2";"651.3";"";"";"31";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.6";"";"";"";"";"";"";
"26.12.2021 21:00";"5.4";"651.8";"";"";"33";"Ветер, дующий с юго-юго-востока";"4";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.9";"";"";"";"";"";"";
"26.12.2021 18:00";"6.3";"651.4";"";"";"33";"Ветер, дующий с юга";"6";"11";"14";"";" ";"";"";"";"8.0";"";"";"";"";"";"";"-8.8";"Осадков нет";"12";"";"";"";"";
"26.12.2021 15:00";"7.9";"650.6";"";"";"30";"Ветер, дующий с юго-юго-востока";"7";"12";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.7";"";"";"";"";"";"";
"26.12.2021 12:00";"7.7";"650.8";"";"";"33";"Ветер, дующий с юга";"5";"10";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"26.12.2021 09:00";"6.4";"651.3";"";"";"36";"Ветер, дующий с юго-юго-востока";"6";"11";"11";"";" ";"";"";"-3.9";"";"";"";"";"";"";"";"-7.6";"";"";"";"";"";"";
"26.12.2021 06:00";"-2.7";"651.5";"";"";"78";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"-3.8";"";"";"";"";"";"";"";"-6.1";"Осадков нет";"12";"";"";"";"";
"26.12.2021 03:00";"-3.7";"652.0";"";"";"85";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"26.12.2021 00:00";"-1.2";"651.5";"";"";"80";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"25.12.2021 21:00";"-0.3";"651.7";"";"";"70";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.1";"";"";"";"";"";"";
"25.12.2021 18:00";"-0.5";"651.4";"";"";"70";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"1.6";"";"";"";"";"";"";"-5.4";"Осадков нет";"12";"";"";"";"";
"25.12.2021 15:00";"1.5";"649.5";"";"";"54";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"25.12.2021 12:00";"0.1";"649.5";"";"";"46";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.3";"";"";"";"";"";"";
"25.12.2021 09:00";"-4.4";"649.5";"";"";"63";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.4";"";"";"";"";"";"";
"25.12.2021 06:00";"-10.0";"649.3";"";"";"71";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"-15.0";"";"";"";"";"";"";"";"-14.3";"Осадков нет";"12";"";"";"";"";
"25.12.2021 03:00";"-13.7";"649.6";"";"";"84";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.8";"";"";"";"";"";"";
"25.12.2021 00:00";"-13.1";"649.9";"";"";"83";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.4";"";"";"";"";"";"";
"24.12.2021 21:00";"-14.0";"650.5";"";"";"85";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.0";"";"";"";"";"";"";
"24.12.2021 18:00";"-13.5";"651.4";"";"";"83";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"-11.7";"";"";"";"";"";"";"-15.8";"Осадков нет";"12";"";"";"";"";
"24.12.2021 15:00";"-11.8";"651.6";"";"";"72";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.8";"";"";"";"";"";"";
"24.12.2021 12:00";"-14.1";"652.3";"";"";"85";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.1";"";"";"";"";"";"";
"24.12.2021 09:00";"-15.7";"652.9";"";"";"85";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"-17.3";"";"";"";"";"";"";"";"-17.7";"";"";"";"";"";"";
"24.12.2021 06:00";"-17.0";"652.1";"";"";"86";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-17.2";"";"";"";"";"";"";"";"-18.8";"Осадков нет";"12";"";"";"";"";
"24.12.2021 03:00";"-16.0";"652.3";"";"";"87";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.7";"";"";"";"";"";"";
"24.12.2021 00:00";"-15.5";"652.1";"";"";"87";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.2";"";"";"";"";"";"";
"23.12.2021 21:00";"-14.9";"652.0";"";"";"85";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.9";"";"";"";"";"";"";
"23.12.2021 18:00";"-12.4";"651.9";"";"";"75";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"-11.0";"";"";"";"";"";"";"-16.0";"Осадков нет";"12";"";"";"";"";
"23.12.2021 15:00";"-11.1";"651.1";"";"";"69";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.7";"";"";"";"";"";"";
"23.12.2021 12:00";"-12.4";"650.9";"";"";"72";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.4";"";"";"";"";"";"";
"23.12.2021 09:00";"-14.5";"651.7";"";"";"80";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"-14.7";"";"";"";"";"";"";"";"-17.2";"";"";"";"";"";"";
"23.12.2021 06:00";"-14.1";"650.8";"";"";"80";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"-14.2";"";"";"";"";"";"";"";"-16.9";"Осадков нет";"12";"";"";"";"";
"23.12.2021 03:00";"-13.3";"650.4";"";"";"79";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.2";"";"";"";"";"";"";
"23.12.2021 00:00";"-12.9";"650.6";"";"";"80";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.6";"";"";"";"";"";"";
"22.12.2021 21:00";"-12.9";"650.6";"";"";"82";"Ветер, дующий с северо-северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.4";"";"";"";"";"";"";
"22.12.2021 18:00";"-10.9";"648.5";"";"";"84";"Ветер, дующий с северо-северо-запада";"4";"";"10";"";" ";"";"";"";"-4.1";"";"";"";"";"";"";"-13.1";"Осадков нет";"12";"";"";"";"";
"22.12.2021 15:00";"-7.9";"646.6";"";"";"80";"Ветер, дующий с севера";"2";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.8";"";"";"";"";"";"";
"22.12.2021 12:00";"-5.4";"646.2";"";"";"79";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.5";"";"";"";"";"";"";
"22.12.2021 09:00";"-5.8";"646.6";"";"";"91";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"-6.2";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"22.12.2021 06:00";"-5.9";"645.5";"";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-6.1";"";"";"";"";"";"";"";"-6.8";"Осадков нет";"12";"";"";"";"";
"22.12.2021 03:00";"-5.8";"645.9";"";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"22.12.2021 00:00";"-5.4";"646.1";"";"";"94";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.2";"";"";"";"";"";"";
"21.12.2021 21:00";"-5.1";"646.3";"";"";"94";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"21.12.2021 18:00";"-4.2";"645.9";"";"";"95";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"-1.6";"";"";"";"";"";"";"-4.9";"Осадков нет";"12";"";"";"";"";
"21.12.2021 15:00";"-3.6";"644.8";"";"";"94";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"21.12.2021 12:00";"-3.0";"643.9";"";"";"92";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"";"";"";"";"";"";
"21.12.2021 09:00";"-1.9";"643.0";"";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.6";"";"";"";"";"";"";
"21.12.2021 06:00";"-1.7";"641.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-2.6";"";"";"";"";"";"";"";"-2.5";"Осадков нет";"12";"";"";"";"";
"21.12.2021 03:00";"-2.0";"641.5";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"";"";"";"";"";"";
"21.12.2021 00:00";"-2.1";"641.0";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"20.12.2021 21:00";"-1.6";"641.9";"";"";"95";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.3";"";"";"";"";"";"";
"20.12.2021 18:00";"-0.9";"642.3";"";"";"94";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"3.2";"";"";"";"";"";"";"-1.7";"Осадков нет";"12";"";"";"";"";
"20.12.2021 15:00";"2.1";"642.1";"";"";"91";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"20.12.2021 12:00";"2.9";"642.9";"";"";"84";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"20.12.2021 09:00";"2.7";"643.5";"";"";"86";"Ветер, дующий с юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"20.12.2021 06:00";"2.3";"643.2";"";"";"90";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"-4.8";"";"";"";"";"";"";"";"0.8";"Осадков нет";"12";"";"";"";"";
"20.12.2021 03:00";"2.2";"643.9";"";"";"89";"Ветер, дующий с юго-востока";"3";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"20.12.2021 00:00";"-4.7";"644.6";"";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.7";"";"";"";"";"";"";
"19.12.2021 21:00";"-3.5";"645.7";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"19.12.2021 18:00";"-3.6";"645.8";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-2.1";"";"";"";"";"";"";"-4.5";"Осадков нет";"12";"";"";"";"";
"19.12.2021 15:00";"-2.9";"646.2";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.7";"";"";"";"";"";"";
"19.12.2021 12:00";"-3.7";"647.7";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.2";"";"";"";"";"";"";
"19.12.2021 09:00";"-2.8";"647.8";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-3.0";"";"";"";"";"";"";"";"-3.3";"";"";"";"";"";"";
"19.12.2021 03:00";"-1.5";"647.8";"";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"19.12.2021 00:00";"-0.3";"647.2";"";"";"96";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"18.12.2021 21:00";"0.8";"647.0";"";"";"93";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"18.12.2021 18:00";"2.6";"646.8";"";"";"79";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"5.4";"";"";"";"";"";"";"-0.8";"Осадков нет";"12";"";"";"";"";
"18.12.2021 15:00";"4.2";"646.0";"";"";"62";"Ветер, дующий с севера";"2";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"";"";"";"";"";"";
"18.12.2021 12:00";"2.3";"646.3";"";"";"76";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"18.12.2021 09:00";"-0.4";"647.2";"";"";"93";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"-1.8";"";"";"";"";"";"";"";"-1.4";"";"";"";"";"";"";
"18.12.2021 06:00";"0.4";"645.9";"";"";"94";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"0.2";"";"";"";"";"";"";"";"-0.5";"Осадков нет";"12";"";"";"";"";
"18.12.2021 03:00";"1.5";"646.5";"";"";"89";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"18.12.2021 00:00";"2.1";"646.6";"";"";"89";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"17.12.2021 21:00";"2.3";"647.0";"";"";"91";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"17.12.2021 18:00";"3.6";"647.2";"";"";"84";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"7.0";"";"";"";"";"";"";"1.1";"Осадков нет";"12";"";"";"";"";
"17.12.2021 15:00";"5.9";"647.0";"";"";"66";"Ветер, дующий с юго-востока";"1";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"";
"17.12.2021 12:00";"4.5";"647.8";"";"";"79";"Ветер, дующий с юго-востока";"5";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"1.2";"";"";"";"";"";"";
"17.12.2021 09:00";"1.3";"648.7";"";"";"69";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"-0.3";"";"";"";"";"";"";"";"-3.9";"";"";"";"";"";"";
"17.12.2021 06:00";"0.2";"649.7";"";"";"78";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"0.0";"";"";"";"";"";"";"";"-3.3";"Осадков нет";"12";"";"";"";"";
"17.12.2021 03:00";"6.2";"650.7";"";"";"53";"Ветер, дующий с запада";"2";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"17.12.2021 00:00";"7.0";"651.5";"";"";"61";"Ветер, дующий с юга";"7";"12";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"16.12.2021 21:00";"7.9";"652.1";"";"";"48";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.6";"";"";"";"";"";"";
"16.12.2021 18:00";"3.5";"652.9";"";"";"55";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"6.9";"";"";"";"";"";"";"-4.8";"Осадков нет";"12";"";"";"";"";
"16.12.2021 15:00";"5.4";"652.6";"";"";"46";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"16.12.2021 12:00";"4.6";"653.7";"";"";"47";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.8";"";"";"";"";"";"";
"16.12.2021 09:00";"3.6";"654.7";"";"";"48";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"2.4";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"16.12.2021 06:00";"3.0";"654.4";"";"";"47";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"3.1";"";"";"";"";"";"";"";"-7.2";"Осадков нет";"12";"";"";"";"";
"16.12.2021 03:00";"4.6";"654.0";"";"";"39";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"16.12.2021 00:00";"5.3";"653.5";"";"";"35";"Ветер, дующий с юго-юго-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.2";"";"";"";"";"";"";
"15.12.2021 21:00";"7.6";"653.2";"";"";"30";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.0";"";"";"";"";"";"";
"15.12.2021 18:00";"4.3";"652.4";"";"";"51";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"11.2";"";"";"";"";"";"";"-5.0";"Осадков нет";"12";"";"";"";"";
"15.12.2021 15:00";"7.3";"651.1";"";"";"44";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.2";"";"";"";"";"";"";
"15.12.2021 12:00";"5.5";"651.3";"";"";"55";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"15.12.2021 09:00";"4.4";"651.8";"";"";"60";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"3.5";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"15.12.2021 06:00";"6.5";"651.4";"";"";"61";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"4.8";"";"";"";"";"";"";"";"-0.5";"Осадков нет";"12";"";"";"";"";
"15.12.2021 03:00";"8.8";"652.1";"";"";"58";"Ветер, дующий с юго-востока";"4";"";"22";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"15.12.2021 00:00";"5.3";"652.6";"";"";"34";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.3";"";"";"";"";"";"";
"14.12.2021 21:00";"6.1";"653.1";"";"";"33";"Ветер, дующий с юга";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.0";"";"";"";"";"";"";
"14.12.2021 18:00";"7.2";"653.5";"";"";"32";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"11.4";"";"";"";"";"";"";"-8.5";"Осадков нет";"12";"";"";"";"";
